plain_name,name,meaning,sample,note
cast a spell,cast a spell,"to use words thought to be magic, especially in order to have an effect on someone","When I was 17, jazz cast its spell on me (= I started to like it very much), figurative",
catch on,catch on,"If something catches on, it becomes popular.",,
catch on,catch on,"If you catch on, you suddenly understand something that you couldn't understand at first.",,
catch up,catch up,"If you catch up with someone who is ahead of you, you go faster than them until you reach them.","She is really fast, and I couldn’t catch up with her.",
catch up,catch up,"If two people meet again after a while and catch up, they tell each other what they've been doing.",,"BrE,"
catch up,catch up,to reach the same quality or standard as someone or something else,Will Western industry ever catch up with Japanese innovations?,
catch up,catch up,to do something you did not have time to do earlier,She's staying late at the office to catch up with/on some reports.,
catch up,catch up,to learn or discuss the latest news,Let's go for a coffee - I need to catch up ON all the gossip.,
cater to,cater to,to provide people with what they need,,
change into,change into,to change from one state or form into another,,
change over,change over,to stop using one thing or one system and start using another one instead,,
charge with,charge with,"If someone is charged with a crime, they are officially accused of committing it.",,
chase up,chase up,"to try to find out what is being done about something, or what has happened to something",,
chat up,chat up,to talk to someone in the hope of beginning a romantic relationship with them,,"INFORMAL, BrE, AuE"
cheat on,cheat on,to be disloyal to your spouse or partner by having sex with someone else,,
cheat out of,cheat out of,to get something from somebody by cheating them,,
check in,check in,"If you check in, you give your details at a hotel's reception desk, or at an airline's check-in counter, when you arrive.",,
check into,check into,"to register your details after arriving for treatment at a hospital, a rehabilitation centre or a health resort",,
check on,check on,to look at someone or something to make sure that nothing is wrong,,
check out,check out,"to pay the bill and leave after staying at a hotel, a hospital or a rehabilitation centre",,
check out,check out,"to look at something, or go somewhere, to see what it's like",,"INFORMAL,"
check through,check through,"to examine something carefully to make sure nothing is wrong, or to look for something",,
cheer on,cheer on,"to shout loudly to encourage someone, especially someone who's playing sport or competing in a race",,
cheer up,cheer up,to feel happier after being sad,,
chop down,chop down,"If you chop down something like a tree, you cause it to fall by cutting through its base.",Most of the diseased trees were chopped down last year.,
chop up,chop up,to cut something into pieces with an axe or a knife,,
clean out,clean out,to clean the inside of something,,
clean out,clean out,"If you have been cleaned out, all your money has been taken by someone, or spent on something.",,"INFORMAL,"
