plain_name,name,meaning,sample,note
put up,put up,to stay somewhere for the night,We put up at a small hotel for the night.,
put up,put up,"to increase something, such as the price, cost or value of something",I see they've put up the price of fuel again.,"BrE,"
put up,put up,to fix a notice or a picture onto an upright surface such as a wall or a noticeboard,We put up some new pictures in the living room.,
put up,put up,to build a structure in an empty space,They’re planning to put a hotel up where the museum used to be.,
put up,put up,to show or express your feelings about something,esp. negative) (Little Rory always puts up such a fuss around bedtime.,
put up with,put up with sth/sb,"If you put up with something, you accept it even though you don't like it.","I can put up with the house being messy, but I hate it if it's not clean.",
put onto,put sb onto sth,to introduce a person to something or someone that could bring them an advantage,Can you put me onto (= tell me where to find) a good dentist?,
quarrel with,quarrel with,"to disagree about something, or to believe something is untrue or incorrect",,
queue up,queue up,"If you queue up, you join a line of people waiting for their turn to do something.",,
quieten down,quieten down,"If someone quietens down, they become calmer and less excited.",,"BrE, AuE"
rake in,rake in,to make a lot of money,,INFORMAL
rally round,rally round,"If people rally round someone in need, they all do what they can to help the person.",,INFORMAL
reach out,reach out,to extend your arm in order to touch or take something with your hand,,
reach out to,reach out to,to offer help to someone in need,,
reach out to,reach out to,to ask someone for help when you have a problem,,
read into,read into,to believe you've found more meaning in what someone says or does than others have found,,
read out,read out,"if you read something out, you read it aloud so everyone can hear it.",,
read over/through,read sth over/through,"to read something quickly from the beginning to the end, especially to find mistakes",I read your proposal through last night and I think we'll agree to it.,
read up on,read up on,"If you read up on something, you read books about it, or find articles and information on the internet about it.",,
refer to,refer to,"to look at something like a book, a map, or a website, in order to get information about something",,
refer to,refer to,"to direct someone to a place or a person for information, help or treatment",,
reflect on,reflect on,to think deeply about something,,
rely on/upon,rely on/upon sb/sth,"to need a particular thing or the help and support of someone or something in order to continue, to work correctly, or to succeed",The success of this project relies on everyone making an effort.,
rely on/upon,rely on/upon sb/sth,"to trust someone or something or to expect him, her, or it to behave in a particular way",British weather can never be relied on - it's always changing.,
remind of,remind of,"If something reminds you of something else, it makes you think of it.",,
resign yourself to,resign yourself to,"If you resign yourself to something, you accept that it's true and that there's nothing you can do to change it.",,
resort to,resort to,to do something you'd rather not do only because better options or solutions are not possible,,
result in,result in,to lead to a certain outcome or to produce something,,
return to,return to,to go back to,,
revert to,revert to,"to go back to a previous way of behaving, or an old way of doing things",,
ring back,ring back,to return a telephone call or to call again later,,"BrE, AuE"
ring up,ring up,to call someone on a telephone,,"BrE, AuE"
rip off,rip off,to cheat somebody by charging them too much for something,,INFORMAL
roll out,roll out,to introduce a new line of products or services,,
roll over,roll over,"to change position when you're lying down so that you're on your back if you were face down, or face down if you were on your back",,
roll up,roll up,"If you roll up a piece of paper, you fold or roll it in such a way that it becomes a cylinder or a ball.",,
root for,root for sb,to show support for someone who is doing something difficult,Good luck! We're all rooting for you.,"INFORMAL, BrE"
root out,root out,"to uncover and punish criminals, especially those abusing positions of trust or authority",,
rope in,rope in,"If somebody ropes you in, they persuade you to do something you don't really want to do.",,INFORMAL
rough up,rough up,"to physically attack someone, usually to intimidate or make them afraid rather than to seriously hurt them",,INFORMAL
round down,round down,"If you round a number or an amount down to a certain level such as a whole number or the nearest dollar, you bring it down to that level.",,
round up,round up,"If you round a number or an amount up to a certain level such as a whole number or the nearest dollar, you bring it up to that level.",,
rub in,rub in,to talk to someone about something that you know they want to forget because they feel bad about it,"OK, I made a mistake - you don't have to rub it in.",
rub off,rub off,"If a quality someone has rubs off on other people, they start to show that quality as well.",,
rub out,rub out,to erase something that's been written or drawn,,"BrE, AuE,"
rub out,rub out,to kill somebody,,"INFORMAL, AmE,"
rule out,rule out,"If you rule something out, you don't think it's possible.",,
run across,run across,"to meet somebody by chance, or to find something by chance",,
run after,run after,"If you run after someone, you chase them and try to catch up with them by running.",,
run against,run against,to compete with someone in an election,,
run away,run away,"If you run away from something or someone, you run as fast as you can to escape.",,
run away,run away,"If children or teenagers run away, they leave home without telling their parents or guardians.",,
run away from,run away from,to try to avoid problems or difficult situations,,
run by,run by,"If you run your ideas or your thoughts by someone, you ask them what they think of them.",,
run down,run down,to hit somebody with a vehicle such as car or a truck,,
run down,run down,"If you run somebody down, you criticize them and tell them they're no good.",,
run into,run into,"If you run into someone, you meet them by chance, or without expecting to.",,
run into,run into,be/get/run low,on sth,
to have nearly finished a supply of,to have nearly finished a supply of something,"If you run into something, you accidentally hit it while you are driving",We're running low on milk - could you buy some more?,
run off,run off,"If you run off copies of something, you print them","Could you run me off five copies of this, please?",
run off,run off,to win points easily in a competition,Iowa ran off 12 straight points to take the lead.,AmE
run off with,run off with smb,"If a person runs off with someone else, the two people leave together secretly and suddenly.",,
run off with,run off with sth,to leave a place or person suddenly after having stolen something,"He ran off with $10,000 of the company's money.",INFORMAL
run off,run smb/sth off,to cause someone or something to leave,His business partner ran him off the road on purpose.,
run on,run on,to use a particular type of fuel or a particular power source,,
run on,run on,to continue for longer than expected,,
run out (of),run out (of),"If you run out of something, you don't have any left and you need some more.",I've run out of milk/money/ideas/patience.,
run out on,run out on,to suddenly leave the person you're in a relationship with,,
run over,run over,"If you run over something or someone, you hit them or go over them while driving your car.",,
run through,run through,to quickly read something like a list or a speech in order to check the details or look for mistakes,,
run to,run to,to ask someone to help or protect you when you should be able to look after yourself,,
run up,run up,"If you run up a bill or a debt, you get goods or services on the understanding that you'll pay for them later.",,
run up against,run up against,to face something that could be a problem or a difficulty,,
rush into,rush into,to do something quickly and without thinking about it carefully first,,
rush off,rush off,to leave soon after arriving or to leave suddenly,,
save up,save up,to put something aside for the future,,
screw up,screw up,"If you screw something up, you ruin it or you do it the wrong way.",,"INFORMAL, offensive!"
seal off,seal off,"to stop people from going into an area or a building, often because it isn't safe",,
see about,see about,"If you see about something, you make an effort to arrange it or organise it.",,
see off,see off,"If you see somebody off, you go to the place from where they're beginning a journey, like an airport or a railway station, and wish them well as they leave.",,
see out,see out,"If you see someone out, you accompany them out of a room or a building when they're leaving",My secretary will see you out.,
see out,see out,to continue until the end of a particular period of time or until the end of a contract or an activity,They saw out the storm in the best shelter they could find.,
see through,see through,"If you see through something or someone, you realize that you are being deceived or tricked, and you aren't fooled.",,
see through,see through,"If you see something through, you continue with it right to the end.",,
see to,see to,"If you see to something, you take responsibility for it and make sure it's done.",,
sell off,sell off,"to sell assets or belongings, often for a low price because you need money quickly",They're selling off last year's stock at half price.,
sell off,sell off,to sell all or part of a business,The company announced that it would be selling off its hotel business.,
sell out,sell out,"to sell all the stock of something, and have none left",,
send back,send back,"If you send back something that's been delivered to you, you return it because there's a problem with it.",,
send for,send for,"to ask for someone to come to you, or to ask for something to be sent to you",Do you think we should send for a doctor?,
send off,send off,"If you send something off, you post it or send it by a courier service.",Have you sent off your application form yet?,
send off,send off,"If a referee or an umpire sends off a player, the player has to leave the field or court because they've done something wrong.",He was sent off for swearing at the referee.,
send (off/away) for/to,send (off/away) for/to sth,to write to an organization to ask them to send you something,We had to send off to Ireland for a replacement part.,
set about,set about,to begin doing something that will probably take a lot of effort or a long time,,
set aside,set aside,to keep a portion of something for use in the future,,
set back,set back,"to make something happen more slowly, or at a later time, than it would have",,
set back,set back,"If something has set you back fifty dollars, it has cost you fifty dollars.",,"INFORMAL,"
set down,set down,"If you set something down, you put it in writing.",,
set off,set off,to begin a journey,,
set off,set off,to make something explode or blow up,,
set out,set out,to begin doing something with a definite objective or aim in mind,,
set out,set out,to begin a journey,,
set out,set out,"to explain the details of something, especially in writing",,
set up,set up,"to start a company, a foundation, or an organization of some sort",A committee has been set up to organize social events for the students.,
set up,set up,to put together or arrange the parts of something before using it,We only had a couple of hours to set up before the exhibition opened.,
set up,set up,to make the necessary arrangements for an event or activity,We need to set up a meeting to discuss the proposals.,
set up,set up,to establish someone or yourself in a business or position,"After he left college, his father set him up in the family business.",
settle down,settle down,"to become calm and quiet, especially after being excited or noisy",,
settle down,settle down,"to start living a conventional life with a steady job and a stable partner, especially after getting married",,
settle for,settle for,"to accept something, even though it isn't what you really want",,
settle in,settle in,"to begin to feel comfortable in a new situation, such as a new home, a new job, or a new school",,
shake off,shake off,"to get rid of something that's causing you problems, such as a sickness, a fear, a bad image, a bad reputation, etc.",,
shake up,shake up,"to make big changes to an organisation and the way it's run, usually to improve it",,
shake up,shake up,to upset or shock someone,,
shoot up,shoot up,"to quickly increase in size, number or level",,INFORMAL
shop around,shop around,"If you shop around, you go to several shops to find the lowest price for something you want.",,
"show around (sth) (also ""show round (sth)"")","show sb around (sth) (also ""show sb round (sth)"")","to go with someone to all parts, or the main parts, of a place that they have not visited before, so that they can see what it is like or learn about it",Let me know when you're coming to Cambridge and I'll show you around.,
show out,show sb out,"to go to the door of the building with someone who does not live or work there, when they are leaving","If you come this way, I'll show you out.",
show yourself out,show yourself out,"to leave a building in which you do not live or work, without anyone going to the door with you",Don't get up - I'll show myself out.,
show off,show off,"to do something to get attention or admiration, but in a way that annoys some people",,
show up,show up,to arrive at an event or a place where people are gathering,"We were expecting 30 people to come, but half of them never showed up.",INFORMAL
shut down,shut down,"to close something like a factory, school or hospital, usually forever","The company plans to shut down four factories and cut 10,000 jobs.",
shut off,shut off,"If a machine, a system or a supply shuts off, or is shut off by someone, it stops.",,
shut out,shut out,to stop someone or something from entering a room or a building,,
shut out,shut out,to stop yourself thinking about or feeling something that upsets you or hurts you,,
shut up,shut up,to stop talking or stop making noise,,INFORMAL
sign in,sign in,"to sign a register when you visit a place, or to log in when you visit a website",,
sign up,sign up,"If you sign up to something like a website or a gym, you become a member.",,
sink in,sink in,"If an unpleasant or surprising fact or idea sinks in, you gradually start to believe it, understand it, or realize the effect it will have on you",How many times do I have to tell you something before it sinks in?,INFORMAL
sink in/sink into,sink in/sink into sth,"If a liquid or soft substance sinks into something solid, it gradually passes into it through its surface",You'd better wipe up that coffee you spilled on the carpet before it sinks in.,
sit around,sit around,to spend time sitting down and doing very little,"We sat around most of the evening, waiting for Jake and drinking beer.",
sit back,sit back,to do nothing instead of making an effort to get what you want,,
sit down,sit down,to lower yourself into a sitting position on a seat or on the ground,,
sit in for,sit in for,to take someone's place when they are absent,,
sit in on,sit in on,"If you sit in on something like a meeting or a class, you attend to see what happens, without joining in.",,
sit through,sit through,"If you sit through something like a long speech or a boring show, you wait until it's over before leaving, even though you're not enjoying it.",,
sit up,sit up,"If you sit up, you get up into a sitting position after you've been lying down.",,
sit up,sit up,to not go to bed until later than usual,,"BrE, AuE,"
size up,size up,to observe carefully and then form an opinion about a person or a situation,,
sleep together,sleep together,to have sex together,,INFORMAL
sleep with,sleep with,to have sex with someone,,INFORMAL
slip off,slip off sth,to remove clothing quickly and easily,She slipped off her gloves.,
slip up,slip up,"to make a small mistake, usually because of carelessness",,INFORMAL
slow down,slow down,"to become slower, or to make someone or something go slower",,
smell of,smell of,to have a particular smell,,
snap up,snap up,to get something quickly so you don't miss out,,
sober up,sober up,to become sober again after drinking too much alcohol,,
sort out,sort sth/smb out,"to deal successfully with a problem, a situation, or a person who is having difficulties",We've sorted out the computer system's initial problems.,
sort out,sort sth out,to separate one type of things from a group of things,Sort out any clothes you want to throw away and give them to me.,
sort out British,sort smb out British,"to punish or attack someone, usually to make the person understand that they have behaved badly",Has he been bothering you again - do you want me to sort him out?,INFORMAL
speak out,speak out,"If you speak out, you publicly state your position on an issue, or publicly oppose or defend someone or something.",,
speak up,speak up,to speak louder,,
speak up,speak up,"If you speak up, you publicly state your position on an issue, or publicly oppose or defend someone or something.",,
speed up,speed up,"to move faster, or to increase the speed of something",,
spell out,spell out,"If you spell something out, you explain it slowly and very clearly so that everyone can understand.",,
spread out,spread out,"If a group of people spread out, they move apart so that there's more space between them.",They spread out to search the whole area.,
stamp out,stamp out,to stop something bad or harmful by taking strong action against it,,
"stand around (also ""stand about"", ""stand round"")","stand around (also ""stand about"", ""stand round"")",to spend time standing somewhere and doing very little,"We stood around in the cold for about an hour, waiting for the demo to start.",
stand by,stand by,"If you're standing by, you're ready to do something or help somebody.",,
stand by,stand by,"If you stand by someone, you support them or help them if they're in some sort of trouble.",,
stand by,stand by,to do nothing to stop something wrong or something bad from happening,,
stand down,stand down,to resign or retire from a job or a position,,"BrE, AuE"
stand for,stand for,"If letters or symbols stand for something, they represent that thing.",GMT stands for Greenwich Mean Time.,
stand for,stand for,"If a person or an organisation stands for certain ideals or principles, they believe in and support those ideals or principles.",This party stands for low taxes and individual freedom.,
stand for,stand for,"If you won't stand for something, you won't accept it or allow it to happen","I wouldn't stand for that sort of behaviour from him, if I were you.",
stand out,stand out,"If somebody stands out, they are easy to see because there is something unusual about the way they look or the way they behave.",,
stand up,stand up,to get to your feet from a lying or sitting position,,
stand up for,stand up for,to defend an idea or a person against criticism or attack,,
start off,start off,to begin in a particular way or with a particular act,,
start out,start out,to begin a life or a career in a particular way,,
start up,start up,"to create and run an organization such as a business, a club, a band, etc.",,
stay away from,stay away from,"If you stay away from something or someone, you don't go near the thing or the person.",,
stay over,stay over,to sleep at someone's house for one night,Why don't you stay over and drive back in the morning?,
stay up,stay up,"If you stay up, you don't go to bed at the usual time.",,
step down,step down,to resign from a job or a position,,
step up,step up,to increase the level or strength of something,,
"stick around (also ""stick round"")","stick around (also ""stick round"")",to stay somewhere for a period of time,You go - I'll stick around here a bitlonger.,INFORMAL
stick at,stick at,"If you stick at something, you continue to do it even if it's difficult or it's taking a long time.",,"INFORMAL, BrE, AuE"
stick out,stick out,"If something sticks out, it comes out beyond the edge or the end of something.",,
stick out,stick out,to move part of your body out and away from the rest of your body,,
stick to,stick to,"If you stick to something, you don't stop doing it or you don't stop trying to do it.",,
stick to,stick to,"If you stick to something like a political party, a sporting club, a job, or even a favorite food or colour, you don't change to another one.",,
stick up for,stick up for,"If you stick up for someone who's being criticized or attacked verbally, you defend or support them.",,INFORMAL
stick with,stick with,to continue doing something although it is difficult,"Things are hard at the moment, but if we stick with it, they are bound to get better.",INFORMAL
stir up,stir up,to cause trouble among people or to cause bad feelings to arise,,
stop over,stop over,to stop at a place and stay there for one or two days while on your way to somewhere else,,
storm out,storm out,to leave a place quickly when you are angry or upset about something,,
stress out,stress sb out,to make someone feel very nervous and worried,Interviews always stress me out.,
sum up,sum up,"If you sum up something, you give a quick summary of it.",,
switch off,switch off,to turn something off with a switch,,
switch on,switch on,to turn something on with a switch,,
tail off,tail off,to gradually become less in amount or lower in level,,
take aside,take aside,To move one to a quiet location apart from other people so as to speak with them privately.,The boss took me aside and told me my performance had not been satisfactory lately.,
take after,take after,"If you take after an older member of your family, you look like them or you have a similar personality to them.",,
take apart,take sth apart,"If you take apart something, you separate it into the pieces it's made of.",We took the engine apart to see what the problem was.,
take apart,take smb apart,to defeat someone very easily in a sport,"He took their defence apart, scoring three goals in the first 20 minutes.",
take around (somewhere),take sb around (sth/somewhere),"to walk through a building or visit a place with someone, showing them the most interesting or important parts",You will be taken around the museum by one of the guides.,
take away,take sth away,to remove something,Take these chairs away - we don't need them.,
take away,take sth away,to subtract a number,= remove it from another number) (If you take 4 (away) from 12 you get 8.,
take away,take sth away,to get a particular message or piece of information from something you read or are told,What I took away from his talk is that going to university is definitely worth it.,
take away British,take sth away  British,to buy food in a restaurant and eat it somewhere else,Is that to eat in or take away?,
take back,take back,"If you take something back, you return it to the place you got it from, or return it to the shop you bought it from.",Is it too small? Take it back and get a refund.,
take back,take back,"If a store takes back something they've sold, they allow the buyer to return it for a refund, or exchange it.","If you’re not satisfied with your purchase, we’ll take it back and refund your money.",
take back,take back,"If you take back something you said, you admit that you said the wrong thing and withdraw your comments.","All right, I take it all back. It wasn't your fault.","INFORMAL,"
take back,take back,"If something takes you back, it makes you remember a period or an event",That piece of music really took me back (to my schooldays).,
take down,take down,"If you take down a large structure, you dismantle it, or separate it into the parts from which it was assembled.",,
take down,take down,"to remove something that's fixed to a wall, like a picture or a poster",,
take in,take in,to include something,The new town takes in three former villages.,
take in,take in,to fully understand something you hear or read,I had to read the letter twice before I could take it all in.,
take in,take in,to come in through a hole,,
take in,take in,"to make a piece of clothing narrower, by changing the position of some of the stitches joining it together",I'll have to take this dress in at the waist - it's too big.,
take in,take in,"to do paid work for other people, such as washing or sewing, in your home",She supported her family by taking in laundry.,
take in,take sb in,to take care of someone and provide a place in your home for them,Several families took in foreign students.,
take in,take sb in,"to cause someone to believe something that is not true, or to trick or deceive someone",I can't believe she was taken in by him.,
take off,take off,"to remove a piece of clothing, or the top of a container",He took off his clothes and got into the shower.,
take off,take off,"If a plane takes off, it leaves the ground and rises into the sky.",The plane took off at 8.30 a.m.,
take off,take off,to have a period of time away from work,He took two weeks off in September.,
take off,take off,to become popular or successful in a short time,Her singing career had just begun to take off.,
take off,take off,"to suddenly leave somewhere, usually without telling anyone that you are going","When he saw me, he took off in the other direction.",
take on,take on,"If you take on something like a job, a responsibility, or anything involving a challenge, you agree to do it.",,
take on,take on,to give someone a job,,
take on,take on,"to fight, or compete against, someone or something",,
take out,take sth out,"If you take somebody out, you invite them to go out with you, usually for a meal or entertainment.",Is that to eat in or take out?,
take out,take sth out,"to remove something from a container, a pocket, a bag, etc.",They had to take out two of his teeth.,
take out,take sth out,"to obtain something like a loan, an insurance policy, a patent, etc.",I’m going to take out a life insurance policy.,
take out,take sth out,to get money from a bank account,I took out some money for the weekend.,
take out,take out someone,"to go with someone to a restaurant, theater, performance, etc. and pay for everything",Our boss took us out for dinner.,
take over,take over,"to take control of something like a company, an organization, a government, or a territory",,
take over,take over,to begin doing a job or a task that someone else had been doing previously,,
take to,take to,to start doing something often,She was so depressed she took to drink.,
take up,take up,to fill an area of space or a period of time,This desk takes up too much room.,
take up,take up,"to start doing something new like playing a sport, doing a job, or pursuing a hobby",Have you ever thought of taking up acting?,
take up,take up,to shorten a piece of clothing or a curtain to make it the right size,This skirt is too long – I’ll have to take it up.,
take up,take up,to accept something,"To take up this offer, you must apply in writing by end March 2012.",
take up with,take up with someone,to become friendly with or spend time with someone,She’s recently taken up with a strange group of people.,
talk back,talk back,to reply rudely to someone in a position of authority,,
talk down to,talk down to,"If you talk down to someone, you speak to them as if they are inferior to you or less important than you.",,
talk into,talk into,"If you talk someone into doing something, you persuade them to do it.",,
talk out of,talk out of,"If you talk someone out of something, you persuade them not to do it.",,
talk over,talk over,"to discuss a situation with someone, usually before making a decision",,
talk round,talk round,"If you talk somebody round, you persuade them to do what you want them to do, or to agree with you.",,BrE
talk up,talk up,"to speak enthusiastically about something, usually in order to persuade someone to buy it or invest in it",,
tear apart,tear apart,to destroy something by breaking it into two or more pieces,,
tear down,tear down,to demolish a building or other structure,,
tear up,tear up,"If you tear up a piece of paper, you tear it into several pieces.",,
tell apart,tell apart,to tell the difference between two or more things that are very much alike,,
tell off,tell off,to strongly criticize someone for doing something wrong,,
think back,think back,to think about a past event or a past time,,
think of,think of,to have something come to mind,,
think of,think of,to have an opinion about something or someone,,
think over,think over,to think carefully about something before making a decision,,
think up,think up,"to use one's imagination to come up with something like an excuse, a name, a plan, or a story",,
throw away,throw away,"to get rid of something you don't want, usually by putting it in a rubbish bin or a garbage can",,
throw off,throw off,to get rid of something that has been bothering you,,
throw out,throw out,"to discard something you don't want, usually by putting it in a rubbish bin or a garbage can",,
throw out,throw out,"to force somebody to leave something like a club, a college or school, an organisation, etc.",,
throw up,throw up,"If someone throws up, they vomit up the contents of their stomach.",,INFORMAL
tidy away,tidy sth away,"to put things back in drawers, cupboards, and other places where they are kept, after you have used them",The children were expected to tidy away their toys before bedtime.,
tidy up,tidy up,to make a place look neat and tidy,,
tidy-up (noun),tidy-up (noun),an act of making a place or a collection of things tidy,"A basic tidy-up of bedrooms, hallways, and living rooms can create the impression of more space.",
tie up,tie up,to tie together the ends of something,,
tie up,tie up,to make somebody busy with something,,
tie up,tie up,to make something or someone unavailable by committing them to something,,
tip off,tip off,to warn someone or give someone secret information about something,,
top up,top up,"to completely fill something like a glass or a container, or to increase the level of something like a phone card",,
touch on,touch on,to talk briefly about something when speaking or writing about another topic,,
toy with,toy with,"to think about doing something, but not very seriously",,
track down,track down,to find something after a long search,,
try on,try on,to put on clothes or shoes before buying them to see if they fit properly and look good,Try on the shoes to see if they fit.,
try out on,try sth out on sb,to find out what someone thinks about something,"We tried out the new song on a couple of friends, but they didn't like it.",
try out,try out,"to test something to see what it's like, or to see if it works properly",,
turn around,turn around,to change something unsuccessful into something successful,,
turn away,turn away,"If someone turns you away, they don't allow you to enter a place.",,
turn back,turn back,"to return in the direction from which you've come, or to make someone do this",,
turn down,turn down,"to decrease or lower the volume, heat, power, etc. of an appliance by turning a knob or pressing a button",,
turn down,turn down,"If you turn down an offer or a request, you decide not to accept it.",,
turn in,turn in,to go to bed,,"INFORMAL,"
turn in,turn in,"If you turn somebody in, you tell the police that the person has committed a crime or you hand them over to the police yourself.",,
turn into,turn into,to change from one thing into another,,
turn off,turn off,to stop a machine or an appliance from working by using a button or a switch,,
turn on,turn on,to start a machine or an appliance by pressing a button or flicking a switch,,
turn out,turn out,to make a light go off,,
turn out,turn out,"to have a certain outcome, or to end in a certain way",,
turn over,turn over,to change the position of something so that the side facing down is now facing up,,
turn over,turn over,to change your body's position when lying down so that you are facing the opposite direction,,
turn up,turn up,"to increase the volume, heat, power, etc. of an appliance by turning a knob or pressing a button",,
turn up,turn up,"If someone turns up somewhere, they arrive without being expected or without telling anyone they'd be coming",She turned up at my house late one night.,
turn up,turn up,"If something that you have been looking for turns up, you find it unexpectedly","Don't worry about it - something will turn up, you'll see.",
urge on,urge on,"If you urge somebody on, you encourage them to continue trying to do something.",,
use up,use up,"If you use up something, you use all of it and have none left over",Don't use up all the milk - we need some for breakfast.,
usher in,usher in,to begin a period in history or a stage in someone's life,,
veg out,veg out,"If you veg out, you relax and take it easy.",,INFORMAL
verge on,verge on,to be close to reaching a certain state or condition,,
vie for,vie for,"If you vie for something, you compete with others to get it.",,
vote in,vote in,"If a person or a political party is voted in, they have won the most votes in an election.",,
vote off,vote off,"If somebody is voted off something, they have to leave because not enough people voted to keep them on.",,
vouch for,vouch for,"If you vouch for someone or something, you say that the person or thing can be trusted and is of good character or quality.",,
wait around,wait around,"If you have to wait around for something, you have to wait a long time for it","We spent the whole day waiting around for something exciting to happen, but nothing did.",
wait on,wait on,"to serve someone in a restaurant, or to act as a servant for someone and do whatever they ask you to do",,
wait on,wait on,"to wait for the results of something, or for information about something, before deciding what to do next",,
wait up,wait up,"If you wait up, you stay up late at night waiting for something or someone.",,
wake up,wake up,"to become conscious again after sleeping, or to make someone else become conscious after sleeping",,
walk out,walk out,to leave a relationship suddenly,,
ward off,ward off,to stop something that's harmful or dangerous from coming near,,
warm up,warm up,to make something warmer,,
warm up,warm up,to prepare for a sporting or artistic performance by doing exercises or practising,,
wash away,wash away,"If something is washed away, it's carried off by the force of running water, as in a storm or a flood.",,
wash down,wash down,to drink something soon after eating food or while swallowing pills,,
wash out,wash out,"If an event is washed out, it's stopped because of rain.",,
wash up,wash up,"If you wash up, you wash dirty dishes and cooking utensils.",,"BrE, AuE,"
wash up,wash up,"If you wash up, you wash your hands.",,"AmE,"
waste away,waste away,"If you waste away, you gradually become thinner and weaker, usually because of an illness.",,
watch out,watch out,"If you tell someone to watch out, you tell them to be careful or warn them of a danger.",,
watch out for,watch out for,"If someone tells you to watch out for something, they're warning you about it.",,
water down,water down,to add water to a drink to make it less strong if it's an alcoholic drink or less thick if it's a juice or a thick shake,,
water down,water down,to change something like the lyrics of a song or the dialogue in a movie to make it less offensive or less likely to upset people,,
wean off,wean off,to gradually break a bad habit by doing it less and less,,
wear down,wear down,to gradually make someone lose their strength and vitality,,
wear in,wear in,"If you wear in something like a pair of shoes, you wear them for short periods until they fit properly and feel comfortable.",,
wear off,wear off,"If something wears off, it gradually loses its effect.",,
wear out,wear out,"If something such as a shoe or gear wears out, it gets old and damaged from being used.",Moving parts in engines wear out much more quickly than stationary parts.,
wear out,wear out,"If something wears you out, it makes you feel tired and lacking in energy.",Walking around a museum all day really wears you out.,
weed out,weed out,to find and remove people or things that are not needed or wanted,,
weigh down,weigh down,"If you're weighed down by problems or responsibilities, you feel stressed or unhappy because of them.",,
weigh down,weigh sb/sth down,"If someone or something is weighed down with something, they are carrying a lot of or too much of it","Weighed down with supplies, they found the steep path difficult to climb.",
weigh in,weigh in,to be weighed before participating in a sport like boxing or horse-racing,,
weigh in,weigh in,to join a discussion by expressing a viewpoint,,
weigh on,weigh on,"to cause problems for something such as a market or share, usually causing it to fall",Signs of sluggish economic growth weighed on banks.,
weigh up,weigh up,to consider the good and bad points before making a decision,,
whip into,whip into,"to create strong emotions like excitement or anger, usually by giving a speech or a performance of some sort",,
whip up,whip up,to create strong feelings in other people,,
win back,win back,"If you win something back, you get it back again after having lost it.",,
win over,win over,"If you win somebody over, you get them to believe you, trust you or support you.",,
wind down,wind down,"If you wind something down, you gradually reduce it or end it.",,
wind up,wind up,"If you wind up in a certain place or situation, you find yourself there by chance or because of unexpected events.",,
wind up,wind up,"to end something like a meeting, a lecture or a discussion",,
wipe away,wipe away,"to remove something by wiping it with a tissue, a cloth or a hand",,
wipe out,wipe out,"If something is wiped out, it is completely destroyed.",,
wipe out,wipe out,to kill a large number of people or animals,,
wise up,wise up,"If you wise up, you realize the truth in relation to something.",,INFORMAL
work at,work at,"to try hard to achieve something, or try hard to improve your ability to do something",,
work off,work off,to get rid of excess weight or a negative emotion by engaging in physical activity,,
work on,work on,"to spend time making, fixing or improving something",,
work out,work out,to think about a problem or a task and find a solution or a strategy for dealing with it,,
work out,work out,to do physical exercise to keep fit and healthy,,
work out,work out,to find the solution to a numerical problem,,
wrap up,wrap up,"If you wrap something up, you cover it with a material like paper or cloth.",,
wrap up,wrap up,"to finish something like a meeting or a discussion, or to conclude something like a deal or a negotiation",,
wrestle with,wrestle with,to try hard to find the solution to a difficult problem,,
write down,write down,to write something on a piece of paper,,
write off,write off,"to accept that a debt or loan won't be paid back, or that an investment has been lost",,
write off,write off,to damage a vehicle so badly that it cannot be repaired,,"BrE, AuE,"
write out,write out,to write information on an official document before giving it to someone,,
write up,write up,to write a report or an article based on notes written earlier,,
yank at,yank at,"If you yank at something, you pull it repeatedly.",,INFORMAL
yearn for,yearn for,to want something very much,,
yell out,yell out,to shout loudly,,
zero in on,zero in on,"If you zero in on something, you focus on it or put your attention on it.",,
zip around,zip around,"If you zip around, you move quickly from place to place.",,
zip up,zip up,to do up a zipper in a piece of clothing or in a bag,,
zone out,zone out,"If someone zones out, they look blankly ahead without paying attention, maybe because they're tired or bored or affected by drugs.",,"INFORMAL, AmE"
zonked out,zonked out,"If you're zonked out, you're very tired and you feel like resting or going to sleep.",,INFORMAL
zoom in,zoom in,"If a photographer or a camera zooms in, the image changes so that it looks as if the camera is moving closer to the object being photographed or filmed.",,
act up,act up ,behave or function improperly ,I think I need to take my car to the mechanic because it's acting up again.,
add up,add * up + ,calculate a sum ,I added up the receipts and it totaled $135.46.,
add up to,add up to + ,equal an amount ,The total expenses added up to $325.00. ,
add up,add up ,make sense ,Her story doesn't add up. I think she is lying.,
ask out,ask * out + ,invite on a date ,I can't believe that Joe finally asked me out on a date!,
ask over,ask * over + ,invite to one's home ,Why don't we ask the Johnsons over for dinner?,
back down,back down,stop defending your opinion in a debate,Jane never backs down. She always wins arguments.,
back out,back out,"not keep (a promise, agreement,deal)",Sam backed out at the last second.,
back out of,back out of +,"not keep (a promise, agreement, deal)",Sam backed out of the agreement at the last second.,
back up,back * up +,give support,You need examples to back up your opinion. ,
back up,back up,"move backwards, reverse",Could you back up a little so I can open this drawer.,
bawl out,bawl * out ,"criticize, reprimand (inf.)",She bawled him out for arriving late.,
bear down on,bear down on +,bite,The soldier had to bear down on the leather strap while the doctor removed a bullet from the soldier's arm.,
bear down on,bear down on +,take strong measures against,The U.S.A. is bearing down on drug traffickers.,
bear on,bear on +,have to do with,This information may bear on this case.,
